YEAR,MAKE,MODEL,VEHICLE_CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL_CONSUMPTION_1,FUEL_CONSUMPTION_2,FUEL_CONSUMPTION_3,FUEL_CONSUMPTION_4,CO2_EMISSIONS
2000,ACURA,COMPACT,1.6,4,A4,X,10.5,8,9.4,30,216
2000,ACURA,COMPACT,1.6,4,M5,X,9.8,7.8,8.9,32,205
2000,ACURA,MID-SIZE,3.2,6,AS5,Z,13.7,8.8,11.5,25,265
2000,ACURA,MID-SIZE,3.5,6,A4,Z,15,10.9,13.1,22,301
2000,ACURA,SUBCOMPACT,1.8,4,A4,X,11.4,8.3,10,28,230
2000,ACURA,SUBCOMPACT,1.8,4,M5,X,10.6,8.1,9.5,30,219
2000,ACURA,SUBCOMPACT,1.8,4,M5,Z,10.8,8.3,9.7,29,223
2000,ACURA,SUBCOMPACT,3,6,AS4,Z,15.2,10.9,13.3,21,306
2000,ACURA,SUBCOMPACT,3.2,6,M6,Z,15.4,10.7,13.3,21,306
2000,AUDI,COMPACT,1.8,4,A5,Z,12.9,8.6,10.9,26,251
2000,AUDI,COMPACT,1.8,4,M5,Z,11.1,8.1,9.7,29,223
2000,AUDI,COMPACT,2.8,6,A5,Z,14.6,9.7,12.4,23,285
2000,AUDI,COMPACT,2.8,6,M5,Z,13.2,8.9,11.3,25,260
2000,AUDI,COMPACT,1.8,4,A5,Z,13.6,9.1,11.6,24,267
2000,AUDI,COMPACT,1.8,4,M5,Z,12.1,8.9,10.7,26,246
2000,AUDI,COMPACT,2.8,6,A5,Z,14.9,10.1,12.7,22,292
2000,AUDI,COMPACT,2.8,6,M5,Z,14.3,10.3,12.5,23,288
2000,AUDI,MID-SIZE,2.8,6,A5,Z,15,10.2,12.8,22,294
2000,AUDI,STATION WAGON - MID-SIZE,2.8,6,A5,Z,15.4,10.7,13.3,21,306
2000,AUDI,MID-SIZE,2.7,6,A5,Z,15.2,10.6,13.2,21,304
2000,AUDI,MID-SIZE,2.7,6,M6,Z,15.2,10.7,13.2,21,304
2000,AUDI,MID-SIZE,2.8,6,A5,Z,15.4,10.7,13.3,21,306
2000,AUDI,MID-SIZE,2.8,6,M5,Z,14.6,10.9,12.9,22,297
2000,AUDI,MID-SIZE,4.2,8,A5,Z,15.5,10.7,13.4,21,308
2000,AUDI,MID-SIZE,4.2,8,A5,Z,15.5,10.7,13.4,21,308
2000,AUDI,COMPACT,2.7,6,A5,Z,15.2,10.6,13.2,21,304
2000,AUDI,COMPACT,2.7,6,M6,Z,15.2,10.7,13.2,21,304
2000,AUDI,MINICOMPACT,1.8,4,M5,Z,13.1,9,11.3,25,260
2000,AUDI,MINICOMPACT,1.8,4,M6,Z,13.1,9.1,11.3,25,260
2000,AUDI,TWO-SEATER,1.8,4,M5,Z,12.3,8.7,10.7,26,246
2000,AUDI,TWO-SEATER,1.8,4,M6,Z,13.1,9.1,11.3,25,260
2000,BMW,COMPACT,2.5,6,A5,Z,14.6,10.5,12.7,22,292
2000,BMW,COMPACT,2.5,6,M5,Z,13.9,10.2,12.2,23,281
2000,BMW,COMPACT,2.5,6,A5,Z,13.8,9.3,11.8,24,271
2000,BMW,COMPACT,2.5,6,M5,Z,13,8.9,11.2,25,258
2000,BMW,COMPACT,2.5,6,A5,Z,13.8,9.3,11.8,24,271
2000,BMW,COMPACT,2.5,6,M5,Z,13,8.9,11.2,25,258
2000,BMW,COMPACT,2.8,6,A5,Z,13.9,9.4,11.9,24,274
2000,BMW,COMPACT,2.8,6,M5,Z,13,8.9,11.2,25,258
2000,BMW,COMPACT,2.8,6,A5,Z,13.9,9.4,11.9,24,274
2000,BMW,COMPACT,2.8,6,M5,Z,13,8.9,11.2,25,258
2000,BMW,COMPACT,2.8,6,A4,Z,14.6,9.9,12.5,23,288
2000,BMW,COMPACT,2.8,6,M5,Z,13,8.9,11.2,25,258
2000,BMW,STATION WAGON - SMALL,2.8,6,A4,Z,14.6,9.9,12.5,23,288
2000,BMW,STATION WAGON - SMALL,2.8,6,M5,Z,14.5,9.8,12.4,23,285
2000,BMW,COMPACT,4.4,8,A5,Z,14.7,10.4,12.8,22,294
2000,BMW,COMPACT,4.4,8,M6,Z,16.4,10.7,13.8,20,317
2000,BMW,STATION WAGON - SMALL,4.4,8,A5,Z,15.5,11.9,13.9,20,320
2000,BMW,MID-SIZE,4.4,8,A5,Z,15.4,10.9,13.4,21,308
2000,BMW,FULL-SIZE,4.4,8,A5,Z,15.4,10.9,13.4,21,308
2000,BMW,FULL-SIZE,5.4,12,A5,Z,19.1,12.7,16.2,17,373
2000,BMW,TWO-SEATER,3.2,6,M5,Z,13.9,10.1,12.2,23,281
2000,BMW,MINICOMPACT,3.2,6,M5,Z,13.9,10.1,12.2,23,281
2000,BMW,COMPACT,4.9,8,M6,Z,19.6,12.2,16.3,17,375
2000,BMW,SUV,4.4,8,A5,Z,14.9,10.2,12.8,22,294
2000,BMW,SUBCOMPACT,2.5,6,A4,Z,14,9.8,12.1,23,278
2000,BMW,SUBCOMPACT,2.5,6,M5,Z,13.4,9.5,11.6,24,267
2000,BMW,SUBCOMPACT,2.8,6,A4,Z,13.9,9.9,12.1,23,278
2000,BMW,SUBCOMPACT,2.8,6,M5,Z,13.9,9.9,12.1,23,278
2000,BMW,TWO-SEATER,4.9,8,M6,Z,19.3,13,16.5,17,380
2000,BUICK,MID-SIZE,3.1,6,A4,X,13.1,8.7,11.1,25,255
2000,BUICK,FULL-SIZE,3.8,6,A4,X,13.8,8.7,11.5,25,265
2000,BUICK,FULL-SIZE,3.8,6,A4,X,14.4,9.1,12,24,276
2000,BUICK,FULL-SIZE,3.8,6,A4,Z,15.1,9.5,12.6,22,290
2000,BUICK,MID-SIZE,3.8,6,A4,X,13.5,8.8,11.4,25,262
2000,BUICK,MID-SIZE,3.8,6,A4,Z,15.1,9.5,12.6,22,290
2000,CADILLAC,MID-SIZE,3,6,A4,Z,14.7,10.4,12.8,22,294
2000,CADILLAC,FULL-SIZE,4.6,8,A4,Z,15.5,9.6,12.9,22,297
2000,CADILLAC,MID-SIZE,4.6,8,A4,Z,15.5,9.6,12.9,22,297
2000,CADILLAC,SUV,5.7,8,A4,X,21.2,15.7,18.7,15,430
2000,CADILLAC,MID-SIZE,4.6,8,A4,Z,15.5,9.6,12.9,22,297
2000,CHEVROLET,VAN - CARGO,4.3,6,A4,X,17,13,15.2,19,350
2000,CHEVROLET,VAN - PASSENGER,4.3,6,A4,X,17.4,13.4,15.6,18,359
2000,CHEVROLET,VAN - CARGO,4.3,6,A4,X,16.2,12.7,14.6,19,336
2000,CHEVROLET,VAN - PASSENGER,4.3,6,A4,X,17.7,13.9,16,18,368
2000,CHEVROLET,SUV,4.3,6,A4,X,16.2,12.7,14.6,19,336
2000,CHEVROLET,SUV,4.3,6,M5,X,16.3,11.7,14.2,20,327
2000,CHEVROLET,SUV,4.3,6,A4,X,16.9,13,15.2,19,350
2000,CHEVROLET,SUV,4.3,6,M5,X,18.7,14.5,16.8,17,386
2000,CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A4,X,17.7,13.9,16,18,368
2000,CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,M5,X,18.5,14.4,16.7,17,384
2000,CHEVROLET,PICKUP TRUCK - STANDARD,4.8,8,A4,X,16.3,12.2,14.5,19,334
2000,CHEVROLET,PICKUP TRUCK - STANDARD,4.8,8,M5,X,18.9,12.9,16.2,17,373
2000,CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.7,12.7,14.9,19,343
2000,CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A4,X,17.9,14.1,16.2,17,373
2000,CHEVROLET,PICKUP TRUCK - STANDARD,6,8,A4,X,21.4,15.9,18.9,15,435
2000,CHEVROLET,SUBCOMPACT,3.8,6,A4,X,13.9,8.9,11.7,24,269
2000,CHEVROLET,SUBCOMPACT,3.8,6,M5,X,13.7,8.5,11.4,25,262
2000,CHEVROLET,SUBCOMPACT,5.7,8,A4,Z,15.4,10.7,13.3,21,306
2000,CHEVROLET,SUBCOMPACT,5.7,8,M6,Z,14.7,9.6,12.4,23,285
2000,CHEVROLET,SUBCOMPACT,2.2,4,A4,X,11.6,8.2,10.1,28,232
2000,CHEVROLET,SUBCOMPACT,2.2,4,M5,X,12.2,7.8,10.2,28,235
2000,CHEVROLET,SUBCOMPACT,2.4,4,A4,X,12.5,8.8,10.8,26,248
2000,CHEVROLET,SUBCOMPACT,2.4,4,M5,X,12.1,7.8,10.2,28,235
2000,CHEVROLET,SUBCOMPACT,2.2,4,A3,X,11.8,8.9,10.5,27,242
2000,CHEVROLET,SUBCOMPACT,5.7,8,A4,Z,15.5,10.7,13.4,21,308
2000,CHEVROLET,SUBCOMPACT,5.7,8,M6,Z,14.4,9.4,12.1,23,278
2000,CHEVROLET,VAN - CARGO,4.3,6,A4,X,17.8,13.9,16,18,368
2000,CHEVROLET,VAN - CARGO,5,8,A4,X,18.2,13.8,16.2,17,373
2000,CHEVROLET,VAN - CARGO,5.7,8,A4,X,19.3,14.9,17.3,16,398
2000,CHEVROLET,VAN - PASSENGER,4.3,6,A4,X,18.3,14.3,16.5,17,380
2000,CHEVROLET,VAN - PASSENGER,5,8,A4,X,18.5,14.4,16.7,17,384
2000,CHEVROLET,VAN - PASSENGER,5.7,8,A4,X,20.6,15.9,18.5,15,426
2000,CHEVROLET,FULL-SIZE,3.4,6,A4,X,13.6,8.6,11.3,25,260
2000,CHEVROLET,FULL-SIZE,3.8,6,A4,X,13.5,8.8,11.4,25,262
2000,CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A4,X,17,13,15.2,19,350
2000,CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,M5,X,18.7,14.5,16.8,17,386
2000,CHEVROLET,PICKUP TRUCK - STANDARD,4.8,8,A4,X,17.3,14.1,15.9,18,366
2000,CHEVROLET,PICKUP TRUCK - STANDARD,4.8,8,M5,X,20.1,14.6,17.6,16,405
2000,CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A4,X,18,14.4,16.4,17,377
2000,CHEVROLET,SUV,5.7,8,A4,X,21.1,15.9,18.7,15,430
2000,CHEVROLET,MID-SIZE,3.4,6,A4,X,13.6,8.6,11.3,25,260
2000,CHEVROLET,MID-SIZE,3.8,6,A4,X,13.5,8.8,11.4,25,262
2000,CHEVROLET,MID-SIZE,3.1,6,A4,X,13.1,8.7,11.1,25,255
2000,CHEVROLET,SUBCOMPACT,1,3,M5,X,7.1,5.5,6.4,44,147
2000,CHEVROLET,SUBCOMPACT,1.3,4,A3,X,9.1,7.4,8.3,34,191
2000,CHEVROLET,SUBCOMPACT,1.3,4,M5,X,7.6,5.9,6.8,42,156
2000,CHEVROLET,SUV,5.3,8,A4,X,18.9,14.6,17,17,391
2000,CHEVROLET,SUV,4.8,8,A4,X,18.7,14.9,17,17,391
2000,CHEVROLET,SUV,5.3,8,A4,X,18.9,14.6,17,17,391
2000,CHEVROLET,SUV,4.8,8,A4,X,18.7,14.9,17,17,391
2000,CHEVROLET,SUV,5.3,8,A4,X,18.9,14.7,17,17,391
2000,CHEVROLET,PICKUP TRUCK - SMALL,2.2,4,A4,X,13.8,9.9,12.1,23,278
2000,CHEVROLET,PICKUP TRUCK - SMALL,2.2,4,M5,X,12.2,8.8,10.7,26,246
2000,CHEVROLET,PICKUP TRUCK - SMALL,4.3,6,A4,X,15.4,11.4,13.6,21,313
2000,CHEVROLET,PICKUP TRUCK - SMALL,4.3,6,M5,X,16.1,11.4,14,20,322
2000,CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A4,X,16.8,12.8,15,19,345
2000,CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,M5,X,16.3,11.9,14.3,20,329
2000,CHEVROLET,SUV,2,4,A4,X,11.7,9.8,10.9,26,251
2000,CHEVROLET,SUV,2,4,M5,X,11.9,10.1,11.1,25,255
2000,CHEVROLET,SUV,1.6,4,M5,X,10.5,9,9.9,29,228
2000,CHEVROLET,SUV,2,4,A4,X,11.7,9.9,10.9,26,251
2000,CHEVROLET,SUV,2,4,M5,X,11.9,10.1,11.1,25,255
2000,CHEVROLET,MINIVAN,3.4,6,A4,X,14,9.9,12.2,23,281
2000,CHRYSLER,FULL-SIZE,3.5,6,AS4,X,14.4,9.7,12.3,23,283
2000,CHRYSLER,MID-SIZE,2.4,4,A4,X,13.4,9.3,11.5,25,265
2000,CHRYSLER,MID-SIZE,2.5,6,A4,X,13.6,9.4,11.7,24,269
2000,CHRYSLER,FULL-SIZE,2.7,6,A4,X,13.2,8.9,11.3,25,260
2000,CHRYSLER,FULL-SIZE,3.2,6,A4,X,14.2,9.4,12,24,276
2000,CHRYSLER,FULL-SIZE,2.7,6,A4,X,13.2,8.9,11.3,25,260
2000,CHRYSLER,FULL-SIZE,2.7,6,AS4,X,13.2,8.8,11.2,25,258
2000,CHRYSLER,FULL-SIZE,3.2,6,AS4,X,14.2,9.3,11.9,24,274
2000,CHRYSLER,FULL-SIZE,3.5,6,AS4,X,14.4,9.7,12.3,23,283
2000,CHRYSLER,FULL-SIZE,3.5,6,A4,X,14.7,9.8,12.5,23,288
2000,CHRYSLER,COMPACT,2,4,A3,X,10.9,8.3,9.7,29,223
2000,CHRYSLER,COMPACT,2,4,M5,X,9.6,7.4,8.6,33,198
2000,CHRYSLER,SUBCOMPACT,2.4,4,A4,X,13.4,10.2,12,24,276
2000,CHRYSLER,SUBCOMPACT,2.4,4,M5,X,13.2,9.8,11.7,24,269
2000,CHRYSLER,COMPACT,2.5,6,A4,X,13.5,9.3,11.6,24,267
2000,CHRYSLER,COMPACT,2.5,6,A4,X,13.6,9.4,11.7,24,269
2000,CHRYSLER,COMPACT,2.5,6,AS4,X,14.7,9.9,12.5,23,288
2000,CHRYSLER,MINIVAN,3.8,6,A4,X,15.2,10.7,13.2,21,304
2000,CHRYSLER,MINIVAN,3.8,6,A4,X,16.2,11.2,13.9,20,320
2000,DAEWOO,SUBCOMPACT,1.5,4,A4,X,11.3,7.1,9.4,30,216
2000,DAEWOO,SUBCOMPACT,1.5,4,M5,X,10.3,7.1,8.9,32,205
2000,DAEWOO,SUBCOMPACT,1.6,4,A4,X,11.6,7.6,9.8,29,225
2000,DAEWOO,SUBCOMPACT,1.6,4,M5,X,10.4,7.2,9,31,207
2000,DAEWOO,COMPACT,2.2,4,A4,X,13.4,9.3,11.5,25,265
2000,DAEWOO,COMPACT,2.2,4,M5,X,13.1,8.8,11.2,25,258
2000,DAEWOO,COMPACT,2,4,A4,X,12,8.5,10.4,27,239
2000,DAEWOO,COMPACT,2,4,M5,X,11.9,8.2,10.3,27,237
2000,DAEWOO,STATION WAGON - SMALL,2,4,A4,X,12,8.5,10.4,27,239
2000,DAEWOO,STATION WAGON - SMALL,2,4,M5,X,11.9,8.2,10.3,27,237
2000,DODGE,MINIVAN,3,6,A4,X,14.6,10.2,12.6,22,290
2000,DODGE,MINIVAN,3.3,6,A4,X,14.5,10.2,12.5,23,288
2000,DODGE,MINIVAN,3.8,6,A4,X,15.2,10.7,13.2,21,304
2000,DODGE,MINIVAN,3.3,6,A4,X,14.5,10.2,12.5,23,288
2000,DODGE,MINIVAN,3.3,6,A4,E,20.6,14.2,17.7,16,283
2000,DODGE,PICKUP TRUCK - STANDARD,3.9,6,A4,X,16.3,12,14.4,20,331
2000,DODGE,PICKUP TRUCK - STANDARD,3.9,6,M5,X,16.8,11.3,14.3,20,329
2000,DODGE,PICKUP TRUCK - STANDARD,4.7,8,A4,X,17.6,12.9,15.5,18,357
2000,DODGE,PICKUP TRUCK - STANDARD,4.7,8,M5,X,18.3,12.7,15.8,18,363
2000,DODGE,PICKUP TRUCK - STANDARD,5.9,8,A4,X,20.8,15.4,18.4,15,423
2000,DODGE,PICKUP TRUCK - STANDARD,3.9,6,A4,X,18.1,14.2,16.3,17,375
2000,DODGE,PICKUP TRUCK - STANDARD,3.9,6,M5,X,19.1,13.8,16.8,17,386
2000,DODGE,PICKUP TRUCK - STANDARD,4.7,8,A4,X,18.3,13.4,16.1,18,370
2000,DODGE,PICKUP TRUCK - STANDARD,4.7,8,M5,X,18.8,13.8,16.6,17,382
2000,DODGE,PICKUP TRUCK - STANDARD,5.9,8,A4,X,22.3,15.7,19.3,15,444
2000,DODGE,SUV,4.7,8,A4,X,19.3,14.1,16.9,17,389
2000,DODGE,SUV,5.9,8,A4,X,22.3,15.7,19.3,15,444
2000,DODGE,SUV,5.9,8,A4,Z,22.3,15.7,19.3,15,444
2000,DODGE,MINIVAN,3,6,A4,X,14.6,10.2,12.6,22,290
2000,DODGE,MINIVAN,3.3,6,A4,X,14.5,10.2,12.5,23,288
2000,DODGE,MINIVAN,3.8,6,A4,X,15.2,10.7,13.2,21,304
2000,DODGE,MINIVAN,3.8,6,AS4,X,15.5,10.9,13.4,21,308
2000,DODGE,MINIVAN,3.8,6,A4,X,16.2,11.2,13.9,20,320
2000,DODGE,MINIVAN,3.8,6,AS4,X,16.4,11.3,14.1,20,324
2000,DODGE,MINIVAN,3.3,6,A4,X,14.5,10.2,12.5,23,288
2000,DODGE,MINIVAN,3.3,6,A4,E,20.6,14.2,17.7,16,283
2000,DODGE,PICKUP TRUCK - STANDARD,3.9,6,A4,X,17.3,12.6,15.2,19,350
2000,DODGE,PICKUP TRUCK - STANDARD,3.9,6,M5,X,17.4,12.1,15,19,345
2000,DODGE,PICKUP TRUCK - STANDARD,5.2,8,A4,X,20,13.7,17.2,16,396
2000,DODGE,PICKUP TRUCK - STANDARD,5.2,8,M5,X,20.2,13.5,17.2,16,396
2000,DODGE,PICKUP TRUCK - STANDARD,5.9,8,A4,X,21.5,14.1,18.1,16,416
2000,DODGE,PICKUP TRUCK - STANDARD,5.2,8,A4,X,21.6,15.5,18.9,15,435
2000,DODGE,PICKUP TRUCK - STANDARD,5.2,8,M5,X,22.1,15.2,19,15,437
2000,DODGE,PICKUP TRUCK - STANDARD,5.9,8,A4,X,21.6,14.7,18.5,15,426
2000,DODGE,VAN - CARGO,3.9,6,A3,X,17.6,15.1,16.4,17,377
2000,DODGE,VAN - CARGO,5.2,8,A4,X,19.6,13.5,16.8,17,386
2000,DODGE,VAN - CARGO,5.9,8,A4,X,20.8,15.4,18.4,15,423
2000,DODGE,VAN - PASSENGER,3.9,6,A3,X,18.3,15.5,17.1,17,393
2000,DODGE,VAN - PASSENGER,5.2,8,A4,X,20,13.6,17.1,17,393
2000,DODGE,VAN - CARGO,5.2,8,A4,X,20,13.6,17.1,17,393
2000,DODGE,VAN - CARGO,5.9,8,A4,X,21.5,13.9,18.1,16,416
2000,DODGE,VAN - CARGO,5.2,8,A4,N,20.8,16,18.7,15,353
2000,DODGE,VAN - PASSENGER,5.2,8,A4,X,21.8,16.3,19.3,15,444
2000,DODGE,VAN - PASSENGER,5.9,8,A4,X,21.8,14.2,18.4,15,423
2000,DODGE,SUBCOMPACT,8,10,M6,Z,21.4,12,17.2,16,396
2000,DODGE,SUBCOMPACT,8,10,M6,Z,21.4,12,17.2,16,396
2000,FERRARI,TWO-SEATER,3.6,8,AS6,Z,24.6,15.8,20.6,14,474
2000,FERRARI,TWO-SEATER,3.6,8,M6,Z,24.1,16,20.5,14,472
2000,FERRARI,SUBCOMPACT,5.5,12,A4,Z,26.7,16.9,22.3,13,513
2000,FERRARI,SUBCOMPACT,5.5,12,M6,Z,26.3,15.7,21.5,13,495
2000,FERRARI,SUBCOMPACT,5.5,12,A4,Z,26.7,16.9,22.3,13,513
2000,FERRARI,SUBCOMPACT,5.5,12,M6,Z,26.3,15.7,21.5,13,495
2000,FERRARI,SUBCOMPACT,5.5,12,M6,Z,30.2,19.3,25.3,11,582
2000,FORD,COMPACT,2,4,M5,X,11.1,7.6,9.5,30,219
2000,FORD,COMPACT,2.5,6,A4,X,13.1,9,11.3,25,260
